,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,provinceID,lockdate,label
7630,35,2021-07-10,179,8.0,26101.0,218.0,,,
7631,24,2021-07-10,0,0.0,0.0,0.0,,,
7632,10,2021-07-10,0,0.0,586.0,1.0,,,
7633,13,2021-07-10,0,0.0,802.0,1.0,,,
7634,12,2021-07-10,1,0.0,2812.0,1.0,,,
7635,11,2021-07-10,0,0.0,180.0,0.0,,,
7636,60,2021-07-10,5,0.0,0.0,13.0,,,
7637,61,2021-07-10,0,0.0,27.0,0.0,,,
7638,62,2021-07-10,0,0.0,41.0,0.0,,,
7639,99,2021-07-10,0,0.0,0.0,0.0,,,
7640,1,2021-07-10,391,9.0,48663.0,330.0,,,
7641,59,2021-07-11,47,0.0,0.0,0.0,,,
7642,48,2021-07-11,29,0.0,0.0,0.0,,,
7643,47,2021-07-11,20,1.0,863.0,34.0,,,
7644,46,2021-07-11,63,1.0,0.0,40.0,,,
7645,35,2021-07-11,166,6.0,0.0,278.0,,,
7646,24,2021-07-11,147,1.0,0.0,0.0,,,
7647,10,2021-07-11,0,0.0,0.0,0.0,,,
7648,13,2021-07-11,0,0.0,629.0,0.0,,,
7649,12,2021-07-11,3,0.0,3247.0,7.0,,,
7650,11,2021-07-11,0,0.0,0.0,0.0,,,
7651,60,2021-07-11,0,0.0,0.0,0.0,,,
7652,61,2021-07-11,0,0.0,0.0,0.0,,,
7653,62,2021-07-11,0,0.0,0.0,0.0,,,
7654,99,2021-07-11,0,0.0,0.0,0.0,,,
7655,1,2021-07-11,475,9.0,4739.0,359.0,,,
7656,59,2021-07-12,30,0.0,13941.0,128.0,,,
7657,48,2021-07-12,30,0.0,11863.0,141.0,,,
7658,47,2021-07-12,17,0.0,922.0,21.0,,,
7659,46,2021-07-12,29,1.0,2811.0,78.0,,,
7660,35,2021-07-12,114,0.0,43346.0,96.0,,,
7661,24,2021-07-12,52,0.0,44103.0,258.0,,,
7662,10,2021-07-12,0,0.0,758.0,0.0,,,
7663,13,2021-07-12,0,0.0,570.0,1.0,,,
7664,12,2021-07-12,0,0.0,2509.0,0.0,,,
7665,11,2021-07-12,0,0.0,325.0,0.0,,,
7666,60,2021-07-12,0,0.0,0.0,0.0,,,
7667,61,2021-07-12,0,0.0,68.0,0.0,,,
7668,62,2021-07-12,0,0.0,24.0,0.0,,,
7669,99,2021-07-12,0,0.0,0.0,0.0,,,
7670,1,2021-07-12,272,1.0,121240.0,723.0,,,
7671,59,2021-07-13,33,0.0,5168.0,53.0,,,
7672,48,2021-07-13,35,3.0,4013.0,57.0,,,
7673,47,2021-07-13,27,0.0,1234.0,47.0,,,
7674,46,2021-07-13,16,1.0,1377.0,65.0,,,
7675,35,2021-07-13,146,7.0,15933.0,201.0,,,
7676,24,2021-07-13,54,0.0,78818.0,70.0,,,
7677,10,2021-07-13,5,0.0,337.0,0.0,,,
7678,13,2021-07-13,0,0.0,450.0,1.0,,,
7679,12,2021-07-13,1,0.0,2999.0,5.0,,,
7680,11,2021-07-13,0,0.0,72.0,1.0,,,
7681,60,2021-07-13,19,1.0,0.0,28.0,,,
7682,61,2021-07-13,0,0.0,11.0,0.0,,,
7683,62,2021-07-13,0,0.0,9.0,0.0,,,
7684,99,2021-07-13,0,0.0,0.0,0.0,,,
7685,1,2021-07-13,336,12.0,110421.0,528.0,,,
7686,59,2021-07-14,41,0.0,5181.0,42.0,,,
7687,48,2021-07-14,46,1.0,4991.0,75.0,,,
7688,47,2021-07-14,7,0.0,1350.0,30.0,,,
7689,46,2021-07-14,52,0.0,1100.0,45.0,,,
7690,35,2021-07-14,153,7.0,17489.0,216.0,,,
7691,24,2021-07-14,75,0.0,15886.0,52.0,,,
7692,10,2021-07-14,3,0.0,385.0,0.0,,,
7693,13,2021-07-14,0,0.0,745.0,2.0,,,
7694,12,2021-07-14,0,0.0,1891.0,3.0,,,
7695,11,2021-07-14,0,0.0,151.0,0.0,,,
7696,60,2021-07-14,4,0.0,0.0,12.0,,,
7697,61,2021-07-14,0,0.0,41.0,0.0,,,
7698,62,2021-07-14,0,0.0,74.0,0.0,,,
7699,99,2021-07-14,0,0.0,0.0,0.0,,,
7700,1,2021-07-14,381,8.0,49284.0,477.0,,,
7701,59,2021-07-15,58,1.0,4171.0,42.0,,,
7702,48,2021-07-15,53,1.0,6859.0,43.0,,,
7703,47,2021-07-15,30,0.0,1400.0,9.0,,,
