,pruid,date,Class
714,10.0,2020-06-04,0.0
715,10.0,2020-06-05,0.0
716,10.0,2020-06-06,0.0
717,10.0,2020-06-07,0.0
718,10.0,2020-06-08,0.0
719,10.0,2020-06-09,0.0
720,10.0,2020-06-10,0.0
721,10.0,2020-06-11,0.0
722,10.0,2020-06-12,0.0
723,10.0,2020-06-13,0.0
724,10.0,2020-06-14,0.0
725,10.0,2020-06-15,0.0
726,10.0,2020-06-16,0.0
727,10.0,2020-06-17,0.0
728,10.0,2020-06-18,0.0
729,10.0,2020-06-19,0.0
730,10.0,2020-06-20,0.0
731,10.0,2020-06-21,0.0
732,10.0,2020-06-22,0.0
733,10.0,2020-06-23,0.0
734,10.0,2020-06-24,0.0
735,10.0,2020-06-25,0.0
736,10.0,2020-06-26,0.0
737,10.0,2020-06-27,0.0
738,10.0,2020-06-28,0.0
739,10.0,2020-06-29,0.0
740,10.0,2020-06-30,0.0
741,10.0,2020-07-01,0.0
742,10.0,2020-07-02,0.0
743,10.0,2020-07-03,0.0
744,10.0,2020-07-04,0.0
745,10.0,2020-07-05,0.0
746,10.0,2020-07-06,0.0
747,10.0,2020-07-07,0.0
748,10.0,2020-07-08,1.0
749,10.0,2020-07-09,1.0
750,10.0,2020-07-10,1.0
751,10.0,2020-07-11,1.0
752,10.0,2020-07-12,1.0
753,10.0,2020-07-13,1.0
754,10.0,2020-07-14,1.0
755,10.0,2020-07-15,1.0
756,10.0,2020-07-16,1.0
757,10.0,2020-07-17,1.0
758,10.0,2020-07-18,1.0
759,10.0,2020-07-19,1.0
760,10.0,2020-07-20,0.0
761,10.0,2020-07-21,0.0
762,10.0,2020-07-22,0.0
763,10.0,2020-07-23,0.0
764,10.0,2020-07-24,0.0
765,10.0,2020-07-25,0.0
766,10.0,2020-07-26,0.0
767,10.0,2020-07-27,0.0
768,10.0,2020-07-28,0.0
769,10.0,2020-07-29,0.0
770,10.0,2020-07-30,0.0
771,10.0,2020-07-31,0.0
772,10.0,2020-08-01,0.0
773,10.0,2020-08-02,0.0
774,10.0,2020-08-03,0.0
775,10.0,2020-08-04,0.0
776,10.0,2020-08-05,0.0
777,10.0,2020-08-06,0.0
778,10.0,2020-08-07,0.0
779,10.0,2020-08-08,0.0
780,10.0,2020-08-09,0.0
781,10.0,2020-08-10,0.0
782,10.0,2020-08-11,0.0
783,10.0,2020-08-12,0.0
784,10.0,2020-08-13,0.0
785,10.0,2020-08-14,0.0
786,10.0,2020-08-15,0.0
787,10.0,2020-08-16,0.0
788,10.0,2020-08-17,0.0
789,10.0,2020-08-18,0.0
790,10.0,2020-08-19,0.0
791,10.0,2020-08-20,0.0
792,10.0,2020-08-21,0.0
793,10.0,2020-08-22,0.0
794,10.0,2020-08-23,0.0
795,10.0,2020-08-24,0.0
796,10.0,2020-08-25,0.0
797,10.0,2020-08-26,0.0
798,10.0,2020-08-27,0.0
799,10.0,2020-08-28,0.0
800,10.0,2020-08-29,0.0
801,10.0,2020-08-30,0.0
802,10.0,2020-08-31,0.0
803,10.0,2020-09-01,0.0
804,10.0,2020-09-02,0.0
805,10.0,2020-09-03,0.0
806,10.0,2020-09-04,0.0
807,10.0,2020-09-05,0.0
808,10.0,2020-09-06,0.0
809,10.0,2020-09-07,0.0
810,10.0,2020-09-08,0.0
811,10.0,2020-09-09,0.0
812,10.0,2020-09-10,0.0
813,10.0,2020-09-11,0.0
814,10.0,2020-09-12,0.0
815,10.0,2020-09-13,0.0
816,10.0,2020-09-14,0.0
817,10.0,2020-09-15,0.0
818,10.0,2020-09-16,0.0
