,pruid,date,numtoday,numdeathstoday,numtestedtoday,numrecoveredtoday
569,47,20200414,1,0.0,447.0,0.0
570,46,20200414,0,0.0,670.0,0.0
571,35,20200414,483,43.0,5425.0,0.0
572,24,20200414,691,75.0,5881.0,0.0
573,10,20200414,0,0.0,473.0,0.0
574,13,20200414,0,0.0,225.0,0.0
575,12,20200414,43,0.0,929.0,0.0
576,11,20200414,0,0.0,0.0,0.0
577,60,20200414,0,0.0,3.0,0.0
578,61,20200414,0,0.0,3.0,0.0
579,62,20200414,0,0.0,0.0,0.0
580,99,20200414,0,0.0,0.0,0.0
581,1,20200414,1383,123.0,17508.0,0.0
582,59,20200415,44,3.0,304.0,13.0
583,48,20200415,126,0.0,0.0,0.0
584,47,20200415,3,0.0,571.0,0.0
585,46,20200415,0,1.0,0.0,0.0
586,35,20200415,494,56.0,4993.0,0.0
587,24,20200415,612,52.0,5723.0,0.0
588,10,20200415,3,0.0,-213.0,0.0
589,13,20200415,1,0.0,445.0,0.0
590,12,20200415,32,0.0,768.0,0.0
591,11,20200415,1,0.0,148.0,0.0
592,60,20200415,0,0.0,6.0,0.0
593,61,20200415,0,0.0,8.0,0.0
594,62,20200415,0,0.0,0.0,0.0
595,99,20200415,0,0.0,0.0,0.0
596,1,20200415,1318,112.0,12753.0,0.0
597,59,20200416,0,0.0,859.0,0.0
598,48,20200416,162,2.0,5807.0,0.0
599,47,20200416,1,0.0,618.0,0.0
600,46,20200416,4,0.0,529.0,0.0
601,35,20200416,514,38.0,5127.0,0.0
602,24,20200416,997,143.0,5397.0,0.0
603,10,20200416,5,0.0,148.0,0.0
604,13,20200416,0,0.0,271.0,0.0
605,12,20200416,30,0.0,994.0,0.0
606,11,20200416,0,0.0,83.0,0.0
607,60,20200416,0,0.0,8.0,0.0
608,61,20200416,0,0.0,37.0,0.0
609,62,20200416,0,0.0,11.0,0.0
610,99,20200416,0,0.0,0.0,0.0
611,1,20200416,1711,183.0,19889.0,0.0
612,59,20200417,14,2.0,1081.0,0.0
613,48,20200417,239,0.0,3642.0,0.0
614,47,20200417,2,0.0,581.0,0.0
